counter, setup, keyextract, sign, verify, total, bitsize 
1,181.411918,505.696470,361.304144,161.144861,1028.145475,986 
2,183.904701,532.374750,435.696170,208.307711,1176.378631,1106 
3,182.348121,627.675042,592.796186,256.588188,1477.059416,1242 
4,182.224735,600.030207,647.736233,300.436438,1548.202878,1496 
5,180.388345,633.577221,527.279833,362.015592,1522.872646,1618 
6,180.816540,1170.540025,729.324578,397.809152,2297.673755,1740 
7,179.906763,1030.533907,795.036704,444.407792,2269.978403,1892 
8,179.974261,880.721041,766.315540,496.818351,2143.854932,2010 
9,182.196420,848.649424,896.220804,540.193407,2285.063635,2430 
10,179.279553,1555.602246,1087.044347,589.459289,3232.105882,2554 
