counter, setup, keyextract, sign, verify, total, bitsize 
1,141.241573,60.381918,75.012236,87.169176,222.563330,266 
2,170.059476,62.826702,75.363988,88.240636,226.431326,266 
3,201.174000,65.329578,76.104973,88.603204,230.037755,266 
4,228.060942,69.125558,76.005457,89.266839,234.397854,266 
5,257.217783,71.626211,76.682813,90.199078,238.508102,266 
6,287.255903,74.143216,77.792031,90.404852,242.340099,266 
7,315.602315,76.594982,77.666497,90.290632,244.552111,266 
8,345.654063,79.848601,78.841826,91.165504,249.855931,266 
9,375.035141,82.203647,79.178337,91.857287,253.239271,266 
10,402.989246,85.641077,79.489516,92.426682,257.557275,266 
