counter, setup, keyextract, sign, verify, total, bitsize 
1,9.084410,224.191817,307.868139,202.406903,734.466859,1323 
2,9.114354,164.716122,497.026697,109.205365,770.948184,1494 
3,9.383979,165.604382,550.951707,109.824557,826.380646,1665 
4,9.406886,231.659167,646.177001,268.523354,1146.359522,2107 
5,9.170723,198.556425,833.552501,110.671409,1142.780335,2279 
6,9.265369,196.345950,783.716260,144.739319,1124.801529,2451 
7,9.354275,229.666227,1315.993341,112.136695,1657.796263,2622 
8,9.317109,164.957173,1197.902395,208.987011,1571.846579,2792 
9,9.255203,164.825823,1334.043663,142.441216,1641.310702,3557 
10,9.270202,227.006057,1281.611122,111.763776,1620.380955,3730 
