counter, setup, keyextract, sign, verify, total, bitsize 
1,15.073939,5.897733,12.035184,21.677972,39.610889,944 
2,18.103840,6.147136,14.901849,28.694128,49.743113,1017 
3,21.019838,7.539552,17.588629,34.711822,59.840003,1090 
4,24.323271,8.234891,20.449349,41.301190,69.985430,1230 
5,27.156437,9.313073,23.613526,49.536562,82.463161,1304 
6,29.980287,9.870524,26.275843,54.778420,90.924787,1378 
7,33.354238,10.517641,29.308153,60.396362,100.222156,1451 
8,36.380604,12.244069,31.880619,67.307112,111.431800,1523 
9,39.470060,14.472654,34.884948,73.168328,122.525930,1746 
10,41.961380,14.122383,37.669707,79.522349,131.314439,1821 
