counter, setup, keyextract, sign, verify, total, bitsize 
1,65.939696,57.895413,62.135161,52.933124,172.963698,986 
2,65.215655,74.935534,81.823433,66.943176,223.702143,1106 
3,64.949161,92.079264,100.134103,81.148224,273.361591,1242 
4,64.894754,109.029202,116.036672,95.872096,320.937970,1496 
5,65.458687,126.260893,134.219826,114.737125,375.217844,1618 
6,65.723589,143.987168,151.588108,123.822553,419.397829,1740 
7,65.267580,161.504149,169.408121,138.462631,469.374901,1892 
8,65.285061,178.888504,187.906639,151.930286,518.725429,2010 
9,64.948734,195.513393,209.270710,166.317849,571.101952,2430 
10,64.789663,211.961489,224.032359,179.713210,615.707058,2554 
