counter, setup, keyextract, sign, verify, total, bitsize 
1,70.793208,35.071333,20.687122,30.095878,85.854333,266 
2,86.002292,39.581428,21.174890,30.470870,91.227188,266 
3,100.918326,43.993821,22.098019,31.038285,97.130125,266 
4,115.402332,49.249975,22.497715,31.866805,103.614495,266 
5,130.181702,53.695793,23.298032,32.465682,109.459507,266 
6,145.649929,57.771007,23.815744,33.121595,114.708346,266 
7,159.746498,63.337229,24.545174,33.650639,121.533042,266 
8,175.602402,67.921285,25.137643,34.238424,127.297352,266 
9,189.678250,73.719225,25.937665,35.007297,134.664187,266 
10,204.312363,77.103730,26.343286,35.731745,139.178761,266 
