counter, setup, keyextract, sign, verify, total, bitsize 
1,6.125174,42.867344,89.920825,37.335159,170.123328,1323 
2,6.196375,42.738662,118.725562,39.540669,201.004893,1494 
3,6.137914,42.474407,146.170012,38.515042,227.159461,1665 
4,5.974399,42.987508,175.504479,38.660317,257.152304,2107 
5,6.155432,42.807900,203.418623,39.503004,285.729527,2279 
6,6.085064,42.651070,231.891292,41.490890,316.033252,2451 
7,6.172820,42.760586,260.505644,40.500502,343.766732,2622 
8,6.152932,42.885177,288.155515,40.291562,371.332254,2792 
9,6.163839,42.712088,318.317725,40.577019,401.606832,3557 
10,6.108081,42.873806,346.523047,41.036047,430.432900,3730 
