counter, keyextract, sign, verify, total 
1,56.261700,89.847300,20.939500,167.048500 
2,61.226100,72.258400,21.004900,154.489400 
3,76.210700,66.483900,20.637000,163.331600 
4,55.432900,71.540200,20.954200,147.927300 
5,60.849400,46.068200,20.621700,127.539300 
6,45.371800,46.113400,20.589800,112.075000 
7,66.066300,91.413500,24.900400,182.380200 
8,48.034400,68.901600,20.822200,137.758200 
9,45.595700,57.030800,20.775900,123.402400 
10,45.593700,63.899800,21.189000,130.682500 
11,50.826000,104.384100,20.759400,175.969500 
12,45.358500,76.584900,20.507000,142.450400 
13,81.162900,63.622400,20.699400,165.484700 
14,51.872700,53.306800,21.664200,126.843700 
15,66.603500,61.836800,20.697400,149.137700 
16,45.804800,71.779600,21.210600,138.795000 
17,70.983800,72.098300,21.170100,164.252200 
18,51.507600,89.604200,27.426200,168.538000 
19,45.485800,67.189000,21.124900,133.799700 
20,66.070700,123.015300,20.902500,209.988500 
21,52.751300,78.873900,20.863000,152.488200 
22,56.647200,93.909500,21.129500,171.686200 
23,91.761400,76.336700,20.506900,188.605000 
24,77.263800,73.750200,21.505300,172.519300 
25,72.281800,56.823200,20.810700,149.915700 
26,76.619800,68.135000,20.724100,165.478900 
27,75.651100,67.242200,20.814000,163.707300 
28,56.483500,47.113100,24.101300,127.697900 
29,52.692300,70.760800,20.810600,144.263700 
30,50.618900,77.262100,20.777700,148.658700 
31,55.841700,71.587000,20.824000,148.252700 
32,50.820000,67.158800,20.977000,138.955800 
33,65.762100,56.152800,20.667300,142.582200 
34,41.721500,62.109300,21.180000,125.010800 
35,66.098900,61.293400,20.501200,147.893500 
36,66.027800,62.790400,21.321800,150.140000 
37,46.345300,53.358700,21.033300,120.737300 
38,40.532200,67.736100,21.011800,129.280100 
39,41.121200,46.532500,20.641300,108.295000 
40,45.324100,51.623800,21.366700,118.314600 
41,45.598700,72.736000,22.183500,140.518200 
42,45.296900,68.066000,20.762300,134.125200 
43,40.783300,72.205800,20.691700,133.680800 
44,55.979400,78.024600,21.011600,155.015600 
45,51.112800,51.210200,20.618500,122.941500 
46,50.738800,77.413200,23.539200,151.691200 
47,61.330000,58.881800,20.860000,141.071800 
48,56.462600,56.647000,21.934000,135.043600 
49,72.246700,83.299300,20.668600,176.214600 
50,77.009600,57.282200,20.609800,154.901600 
51,55.895500,72.595200,20.850800,149.341500 
52,45.406100,66.722800,21.349400,133.478300 
53,50.777000,58.350000,20.265800,129.392800 
54,50.268400,82.170400,20.750900,153.189700 
55,50.799600,57.099500,20.602000,128.501100 
56,39.849700,51.193200,20.648400,111.691300 
57,50.781500,46.485500,20.814400,118.081400 
58,45.330500,57.069700,21.363700,123.763900 
59,56.010400,56.709900,20.548100,133.268400 
60,40.121300,82.196500,20.688500,143.006300 
61,74.763400,66.500400,20.485700,161.749500 
62,50.951200,67.369000,20.992300,139.312500 
63,59.171100,61.755100,20.545100,141.471300 
64,45.282900,66.861400,21.332800,133.477100 
65,50.505400,71.856800,20.632700,142.994900 
66,45.070500,56.666600,20.732300,122.469400 
67,50.653100,58.842300,21.503600,130.999000 
68,66.495700,77.445700,21.309300,165.250700 
69,56.006900,66.750300,20.611100,143.368300 
70,51.407500,62.073500,21.535500,135.016500 
71,55.833300,72.995100,20.556300,149.384700 
72,40.306800,56.563900,20.798200,117.668900 
73,61.035000,72.325400,21.187800,154.548200 
74,40.354400,65.304400,20.863500,126.522300 
75,76.851500,51.494000,20.867600,149.213100 
76,40.840900,72.780200,21.397600,135.018700 
77,51.040800,88.347000,20.560600,159.948400 
78,66.115000,87.816900,21.097600,175.029500 
79,94.931700,51.048000,20.598200,166.577900 
80,66.173700,72.169900,20.813600,159.157200 
81,45.457800,46.490400,20.772700,112.720900 
82,50.615200,66.965400,21.249000,138.829600 
83,50.609600,83.093700,21.051800,154.755100 
84,45.282900,56.727500,21.361400,123.371800 
85,46.048300,77.336200,20.606200,143.990700 
86,45.203800,72.081500,20.800400,138.085700 
87,45.560500,82.750400,20.815800,149.126700 
88,50.731400,77.808900,21.390700,149.931000 
89,50.675600,71.735600,20.580500,142.991700 
90,50.313400,56.720200,23.585000,130.618600 
91,40.553300,46.587200,20.907200,108.047700 
92,41.013500,61.640500,20.665800,123.319800 
93,45.954300,67.404600,20.918700,134.277600 
94,41.036200,51.483500,22.602000,115.121700 
95,45.632800,69.222100,20.710200,135.565100 
96,66.309400,72.922700,26.377600,165.609700 
97,72.013700,77.559700,21.052800,170.626200 
98,70.716900,68.381000,20.799600,159.897500 
99,82.926300,61.504700,20.595900,165.026900 
100,51.108300,69.094300,22.246500,142.449100 
101,72.381600,73.936300,20.741200,167.059100 
102,50.692800,46.494000,20.764000,117.950800 
103,67.984600,83.257800,20.602200,171.844600 
104,55.888100,79.442500,20.862300,156.192900 
105,56.029700,90.757800,20.921000,167.708500 
106,57.803800,70.098400,25.738600,153.640800 
107,106.624000,76.621600,20.773900,204.019500 
108,55.856300,87.869800,21.226700,164.952800 
109,47.267000,63.709400,20.641500,131.617900 
110,50.794000,61.536500,21.756200,134.086700 
111,56.347700,83.713500,22.406600,162.467800 
112,52.166700,78.073600,21.797500,152.037800 
113,46.225600,69.120300,21.568400,136.914300 
114,72.068600,66.691800,20.528400,159.288800 
115,87.003500,89.031400,21.049200,197.084100 
116,55.907400,62.159600,20.992200,139.059200 
117,53.037100,104.179100,21.106700,178.322900 
118,48.202200,62.735000,21.215700,132.152900 
119,40.114500,66.766900,20.770000,127.651400 
120,71.751500,51.558000,20.908900,144.218400 
121,55.951700,63.164700,21.099400,140.215800 
122,40.497800,72.314900,20.809900,133.622600 
123,61.069000,88.868400,23.078700,173.016100 
124,66.910200,72.292400,21.171300,160.373900 
125,59.207700,69.627400,21.952700,150.787800 
126,52.192900,46.428000,20.708900,119.329800 
127,61.214600,51.654100,20.881000,133.749700 
128,56.472700,82.001300,21.654900,160.128900 
129,62.180600,68.260600,20.950200,151.391400 
