counter, keyextract, sign, verify, total 
1,14.079700,13.864800,22.386500,50.331000 
2,12.667500,14.053400,22.005900,48.726800 
3,12.266700,13.821900,21.674200,47.762800 
4,12.203300,16.969900,22.178700,51.351900 
5,12.169900,13.727100,21.816000,47.713000 
6,12.132100,13.860700,22.007200,48.000000 
7,12.346700,13.625900,21.709100,47.681700 
8,12.257300,13.658100,21.662300,47.577700 
9,12.231200,13.721200,21.837700,47.790100 
10,12.236600,13.754800,21.960200,47.951600 
11,12.338400,13.639700,21.705800,47.683900 
12,12.152700,13.694500,21.707300,47.554500 
13,12.223600,13.919000,21.910100,48.052700 
14,12.151400,13.899400,22.657900,48.708700 
15,13.338000,13.747200,21.739500,48.824700 
16,12.378000,13.836600,21.668700,47.883300 
17,12.329000,13.772400,21.913100,48.014500 
18,12.292900,13.935300,22.829400,49.057600 
19,12.505600,13.789500,22.118800,48.413900 
20,12.746000,13.708800,22.298600,48.753400 
21,12.305200,13.946100,22.192900,48.444200 
22,12.230900,13.942200,22.104300,48.277400 
23,12.202100,13.852000,22.811300,48.865400 
24,12.583800,14.827800,22.925400,50.337000 
25,12.239200,13.692100,21.838000,47.769300 
26,12.368000,13.821700,22.164200,48.353900 
27,12.304900,13.764800,21.706600,47.776300 
28,12.057400,13.571500,21.707400,47.336300 
29,12.175300,13.626300,21.976600,47.778200 
30,12.624300,14.032900,21.837500,48.494700 
31,12.293100,13.944900,23.005900,49.243900 
32,12.995800,14.164500,22.974700,50.135000 
33,12.663200,13.708700,21.892900,48.264800 
34,12.374300,13.751800,21.935300,48.061400 
35,12.352800,13.782000,22.240900,48.375700 
36,13.122400,13.693800,21.667000,48.483200 
37,12.233800,13.812900,21.892200,47.938900 
38,13.236800,13.919700,22.478900,49.635400 
39,12.266800,13.725900,22.370200,48.362900 
40,12.637500,14.488200,23.240100,50.365800 
41,12.393000,13.890900,22.256700,48.540600 
42,12.250200,15.049900,21.848800,49.148900 
43,12.213400,13.739700,22.523600,48.476700 
44,12.317500,13.725400,21.713700,47.756600 
45,12.170400,13.878000,21.739000,47.787400 
46,12.218500,13.735400,21.816400,47.770300 
47,12.457600,13.660400,23.011500,49.129500 
48,12.459100,13.689700,22.835400,48.984200 
49,12.484800,13.702800,21.779500,47.967100 
50,12.691900,14.193500,21.974600,48.860000 
51,12.243500,13.841300,21.570000,47.654800 
52,12.219300,13.711600,21.694700,47.625600 
53,12.273100,13.852900,22.082000,48.208000 
54,12.709600,13.890300,22.294000,48.893900 
55,12.238400,13.782400,21.855900,47.876700 
56,12.212700,13.700800,21.627100,47.540600 
57,12.054000,13.706300,21.717100,47.477400 
58,12.215000,13.774600,21.825500,47.815100 
59,12.228200,13.882300,22.493000,48.603500 
60,12.847500,14.204400,21.947400,48.999300 
61,12.232400,13.867200,21.835000,47.934600 
62,12.188000,13.887200,21.875600,47.950800 
63,12.377900,13.651600,22.013400,48.042900 
64,12.099200,13.685600,21.229900,47.014700 
65,12.637800,13.922900,21.781100,48.341800 
66,12.286600,14.093600,22.836500,49.216700 
67,13.251300,13.794500,24.316900,51.362700 
68,12.804000,13.872900,21.866800,48.543700 
69,12.234700,13.707100,21.845500,47.787300 
70,12.244300,13.749100,22.636800,48.630200 
71,12.200500,13.555500,21.880100,47.636100 
72,12.102800,13.472400,21.688500,47.263700 
73,12.180100,13.750900,21.819600,47.750600 
74,12.214600,13.887800,22.157700,48.260100 
75,12.499200,14.449600,22.861500,49.810300 
76,13.244100,13.988000,21.670600,48.902700 
77,12.261200,13.772700,21.754100,47.788000 
78,12.293600,13.972400,21.837500,48.103500 
79,12.352100,13.676900,21.609400,47.638400 
80,12.174900,13.657500,21.618700,47.451100 
81,12.081000,13.504700,21.824100,47.409800 
82,12.505500,13.972500,22.238900,48.716900 
83,12.538900,13.962000,22.674100,49.175000 
84,12.968500,15.289900,21.799100,50.057500 
85,12.319800,13.647600,21.885000,47.852400 
86,12.425600,13.867100,21.925400,48.218100 
87,12.503700,13.768400,21.923400,48.195500 
88,12.240100,13.665200,21.775900,47.681200 
89,12.137100,13.750900,21.818100,47.706100 
90,12.438700,13.753800,21.914100,48.106600 
91,12.296700,14.171400,23.650000,50.118100 
92,13.087200,13.909300,23.003900,50.000400 
93,15.947700,13.921400,21.759000,51.628100 
94,12.336000,13.944200,21.927400,48.207600 
95,12.388400,13.500600,21.864700,47.753700 
96,12.153600,13.636500,21.782400,47.572500 
97,12.228800,13.655900,21.724800,47.609500 
98,12.243800,13.790600,21.962700,47.997100 
99,12.252600,13.687800,22.751400,48.691800 
100,12.475400,14.906100,22.006400,49.387900 
101,12.565100,14.080500,21.849900,48.495500 
102,12.324400,13.996000,21.776900,48.097300 
103,12.478300,13.524900,21.717200,47.720400 
104,12.225100,13.646700,21.623100,47.494900 
105,12.182400,13.515800,21.806500,47.504700 
106,12.207200,13.849300,21.900900,47.957400 
107,12.795700,13.767500,21.802400,48.365600 
108,13.031900,14.971000,22.510600,50.513500 
109,12.446900,18.372200,26.101300,56.920400 
110,12.321200,15.191100,21.881300,49.393600 
111,12.426600,13.713700,21.690200,47.830500 
112,12.127300,13.666000,21.631400,47.424700 
113,12.118000,13.666600,21.821700,47.606300 
114,12.240800,13.723000,22.443600,48.407400 
115,12.191200,13.808800,25.201900,51.201900 
116,15.418200,18.495500,26.586600,60.500300 
117,12.334300,13.869000,26.158200,52.361500 
118,12.318600,14.581900,22.154200,49.054700 
119,13.400900,15.088200,22.753600,51.242700 
120,12.210600,13.741900,22.648400,48.600900 
121,12.744100,13.803500,26.813800,53.361400 
122,12.690100,13.876500,21.838700,48.405300 
123,12.303200,14.697600,29.664500,56.665300 
124,19.274900,14.520700,29.537500,63.333100 
125,14.833200,13.699800,23.767200,52.300200 
126,12.679500,18.344300,29.681400,60.705200 
127,14.096400,14.759000,23.689800,52.545200 
128,12.949500,14.372700,26.351700,53.673900 
129,13.216700,14.274200,22.338700,49.829600 
130,12.352500,13.630600,21.990300,47.973400 
131,12.527300,13.788900,22.040700,48.356900 
132,12.397700,13.917800,21.927500,48.243000 
133,12.109300,13.619100,21.772400,47.500800 
134,12.360000,13.916700,21.911900,48.188600 
135,12.208700,13.896900,21.738300,47.843900 
136,12.343700,14.209500,22.981000,49.534200 
137,13.611100,14.366900,22.400100,50.378100 
138,12.439800,14.152200,21.828300,48.420300 
139,12.181200,14.022500,22.924000,49.127700 
140,13.228200,13.704400,21.749200,48.681800 
141,12.061700,13.539600,21.746300,47.347600 
142,12.262100,13.748500,21.793300,47.803900 
143,12.343000,13.987900,21.904500,48.235400 
144,12.416500,13.991200,23.124500,49.532200 
145,14.264100,13.795000,22.876700,50.935800 
146,12.220500,13.773900,21.989200,47.983600 
147,12.532400,13.802800,23.197600,49.532800 
148,12.340200,13.689000,22.215900,48.245100 
149,12.252600,13.673600,21.559500,47.485700 
150,12.749900,13.924600,21.947700,48.622200 
151,12.412700,13.814300,23.029200,49.256200 
152,12.739400,13.673300,21.628800,48.041500 
153,12.079400,13.639800,21.716400,47.435600 
