counter, keyextract, sign, verify, total 
1,25.978200,49.793100,18.919700,94.691000 
2,31.259800,34.197000,19.302700,84.759500 
3,59.448700,55.033100,25.516500,139.998300 
4,32.715200,34.389900,24.544800,91.649900 
5,42.764700,34.406400,51.235300,128.406400 
6,31.257100,39.317500,19.175400,89.750000 
7,38.615200,50.143000,29.622100,118.380300 
8,31.355400,60.964600,19.825000,112.145000 
9,49.958500,40.301200,61.341800,151.601500 
10,31.380400,39.563200,24.546400,95.490000 
11,47.143700,34.116200,24.377000,105.636900 
12,26.415800,49.996700,24.480000,100.892500 
13,26.215000,44.767600,35.416900,106.399500 
14,57.254100,55.432200,24.294400,136.980700 
15,26.159500,44.623700,29.709200,100.492400 
16,52.363800,60.700700,19.294400,132.358900 
17,36.653900,55.065500,19.953700,111.673100 
18,36.594000,39.481000,24.844800,100.919800 
19,31.524300,39.751300,29.960300,101.235900 
20,87.889700,34.472100,24.469300,146.831100 
21,31.539800,34.279100,19.545700,85.364600 
22,36.694300,44.713900,19.098800,100.507000 
23,31.383700,34.109500,29.744200,95.237400 
24,52.156100,39.594200,45.282100,137.032400 
25,26.087600,55.238500,29.702900,111.029000 
26,36.728400,55.470200,19.029700,111.228300 
27,36.460000,39.468000,19.135900,95.063900 
28,31.323400,39.747700,19.134400,90.205500 
29,52.752800,41.752100,27.515100,122.020000 
30,26.132900,34.189100,19.060800,79.382800 
31,31.686700,34.113300,40.595600,106.395600 
32,36.893500,45.094600,19.149600,101.137700 
33,36.453800,44.414100,19.047300,99.915200 
34,52.168600,34.219300,19.076100,105.464000 
35,41.887100,34.376400,19.165500,95.429000 
36,36.575500,39.529300,26.412500,102.517300 
37,26.258200,39.366800,24.664200,90.289200 
38,31.326800,39.419200,19.169900,89.915900 
39,33.114200,55.199300,24.384700,112.698200 
40,31.182900,34.652100,19.202400,85.037400 
41,36.735900,34.268200,19.480900,90.485000 
42,26.039800,55.307600,19.239700,100.587100 
43,62.648000,34.228600,24.745700,121.622300 
44,26.542000,50.714000,19.465700,96.721700 
45,38.489900,50.272200,19.327400,108.089500 
46,31.265800,39.386300,29.598100,100.250200 
47,26.465800,34.082200,24.279600,84.827600 
48,57.694500,50.251000,19.110800,127.056300 
49,27.239600,34.129300,19.036200,80.405100 
50,26.207700,40.391200,29.650400,96.249300 
51,36.495800,66.605700,19.172700,122.274200 
52,31.426900,55.924600,19.198600,106.550100 
53,36.686900,44.686800,19.562600,100.936300 
54,36.798200,39.387800,18.958700,95.144700 
55,41.926200,34.020800,34.923300,110.870300 
56,36.988800,34.262300,24.502400,95.753500 
57,31.381300,39.503900,18.970600,89.855800 
58,37.966900,39.716600,19.105300,96.788800 
59,36.521300,49.817200,24.382900,110.721400 
60,31.413700,60.682100,19.358900,111.454700 
61,52.422100,55.158600,19.703700,127.284400 
62,36.813600,41.938700,19.064900,97.817200 
63,26.249400,45.107800,19.947100,91.304300 
64,52.857700,34.224600,19.060000,106.142300 
65,47.050000,39.442100,34.983800,121.475900 
66,26.198300,55.429600,19.248400,100.876300 
67,42.358300,34.409900,19.393800,96.162000 
68,32.117100,81.938000,29.674100,143.729200 
69,52.540500,39.493600,40.529600,132.563700 
70,41.907400,50.242100,19.198100,111.347600 
71,41.674900,44.777700,19.093300,105.545900 
72,26.336100,34.489100,35.163400,95.988600 
73,47.189700,39.668300,45.601900,132.459900 
74,26.127800,55.568700,19.159600,100.856100 
75,31.629800,44.791400,24.381300,100.802500 
76,31.453200,60.786700,30.443000,122.682900 
77,31.827300,34.165200,35.285100,101.277600 
78,36.774500,44.698400,19.159600,100.632500 
79,26.213800,44.757400,19.180900,90.152100 
80,36.500700,44.633900,24.499900,105.634500 
81,26.306000,82.054600,24.449600,132.810200 
82,31.264900,34.523600,19.268100,85.056600 
83,42.413300,45.964800,24.854000,113.232100 
84,26.173800,44.820400,19.176900,90.171100 
85,36.524600,44.952000,35.372700,116.849300 
86,26.321300,34.377600,24.428400,85.127300 
87,42.010500,45.131000,19.324300,106.465800 
88,36.515900,40.278500,30.692800,107.487200 
89,31.392100,50.333900,24.617700,106.343700 
90,57.505900,50.263500,19.170200,126.939600 
91,47.165900,44.736700,19.172500,111.075100 
92,32.109400,50.084100,61.390900,143.584400 
93,68.065500,39.431800,29.860300,137.357600 
94,31.963500,34.533000,19.280400,85.776900 
95,41.958300,34.294800,18.994500,95.247600 
96,41.897000,34.475700,19.192500,95.565200 
97,47.786600,39.440800,45.650400,132.877800 
98,26.919900,39.672000,24.434200,91.026100 
99,57.473900,49.926000,19.822600,127.222500 
100,26.247700,65.739600,40.152200,132.139500 
101,26.140700,34.146500,24.839700,85.126900 
102,47.036800,34.142800,24.265700,105.445300 
103,26.348300,49.732200,19.208500,95.289000 
104,37.280000,34.373200,20.773400,92.426600 
105,31.842100,36.124500,31.874200,99.840800 
106,57.891900,34.679100,19.237000,111.808000 
107,31.469000,39.954700,19.241000,90.664700 
108,26.389300,34.687100,24.675100,85.751500 
109,37.036800,34.504300,25.070100,96.611200 
110,41.800200,34.301100,45.518500,121.619800 
111,26.084400,44.925400,19.128200,90.138000 
112,36.785000,49.891100,19.279300,105.955400 
113,41.990200,34.341000,29.750600,106.081800 
114,52.042300,45.644400,19.198600,116.885300 
115,57.587700,45.184400,19.292200,122.064300 
116,36.797500,40.845300,39.372600,117.015400 
117,26.211200,44.682200,24.909800,95.803200 
118,26.225800,39.567400,19.102100,84.895300 
119,52.759000,46.023500,19.317900,118.100400 
120,31.730000,49.702300,29.786000,111.218300 
121,26.216500,49.943000,24.181800,100.341300 
122,26.414600,45.049500,19.113900,90.578000 
123,31.556200,45.158600,46.127500,122.842300 
124,36.664700,50.175200,19.235900,106.075800 
125,57.467700,87.410300,19.985900,164.863900 
126,26.342000,45.335900,45.737400,117.415300 
127,36.513600,49.751400,24.335700,110.600700 
128,26.986000,39.696100,19.066000,85.748100 
129,28.300400,46.704600,46.280300,121.285300 
130,31.409400,39.432200,29.462700,100.304300 
131,31.668200,34.103900,19.128300,84.900400 
132,31.793700,45.110700,20.081700,96.986100 
133,31.508900,34.390900,19.435900,85.335700 
134,31.295500,34.208600,29.817800,95.321900 
135,31.919000,34.410200,19.377500,85.706700 
136,52.417300,60.605900,35.068800,148.092000 
137,36.616500,49.643800,34.759100,121.019400 
138,52.275900,34.268100,24.417600,110.961600 
139,26.094900,44.470000,29.892300,100.457200 
140,57.631300,39.631500,24.382200,121.645000 
141,26.233000,70.937500,24.890500,122.061000 
142,47.666200,45.012600,45.605700,138.284500 
143,59.090900,50.702800,29.577600,139.371300 
144,42.039400,44.791800,24.399000,111.230200 
145,47.436300,48.182200,19.085500,114.704000 
146,26.126000,34.069700,35.336500,95.532200 
147,37.278900,50.011400,24.781800,112.072100 
148,62.777500,39.571800,19.444200,121.793500 
149,26.127900,44.807200,19.440200,90.375300 
150,36.908500,40.239200,19.157900,96.305600 
151,36.556300,44.709100,24.671900,105.937300 
152,26.828400,43.056200,45.392500,115.277100 
153,42.462600,49.884800,19.057700,111.405100 
154,31.577400,60.824300,19.435500,111.837200 
155,62.779100,45.337900,29.931700,138.048700 
156,31.443400,39.716400,19.217200,90.377000 
157,31.433300,50.014700,19.532100,100.980100 
158,36.561400,39.645300,19.180000,95.386700 
159,31.549100,55.211600,45.453000,132.213700 
160,41.769400,55.251200,19.195800,116.216400 
161,36.385000,39.387900,19.071900,94.844800 
