counter, keyextract, sign, verify, total 
1,1.885600,2.503200,4.578400,8.967200 
2,1.762700,2.510600,4.413000,8.686300 
3,1.843300,2.475500,4.359600,8.678400 
4,1.812900,2.449200,4.677100,8.939200 
5,1.780800,2.477300,4.170800,8.428900 
6,1.808100,2.452400,4.211600,8.472100 
7,1.798600,2.446000,4.158800,8.403400 
8,1.911300,2.414300,4.253400,8.579000 
9,1.804400,2.493000,4.175600,8.473000 
10,1.827900,2.478000,4.639300,8.945200 
11,1.804400,2.500900,4.147200,8.452500 
12,1.796000,2.498100,4.234100,8.528200 
13,1.876600,2.443600,4.185400,8.505600 
14,1.793300,2.526300,4.257300,8.576900 
15,1.798100,2.547800,4.409300,8.755200 
16,1.853500,2.519100,4.729100,9.101700 
17,1.828000,2.539600,4.379700,8.747300 
18,1.833100,2.483600,4.226100,8.542800 
19,1.855300,2.477100,4.308100,8.640500 
20,1.825300,2.505700,4.232600,8.563600 
21,1.831400,2.478500,4.352200,8.662100 
22,1.962200,2.480400,4.738300,9.180900 
23,1.942400,2.488400,4.197700,8.628500 
24,1.854200,2.588000,4.459000,8.901200 
25,2.202700,2.527200,4.285100,9.015000 
26,1.921700,2.506800,4.227200,8.655700 
27,1.822800,2.500900,4.370900,8.694600 
28,1.912300,2.493400,4.595800,9.001500 
29,1.793200,2.566500,4.324900,8.684600 
30,1.821400,2.453500,4.201500,8.476400 
31,1.868800,2.465100,4.190200,8.524100 
32,1.791800,2.445400,4.241700,8.478900 
33,1.857700,2.502100,4.186600,8.546400 
34,1.869200,2.480900,4.567500,8.917600 
35,1.841300,2.439900,4.196700,8.477900 
36,1.997800,2.523600,4.307900,8.829300 
37,1.860100,2.540400,4.339100,8.739600 
38,1.983600,2.462400,4.171500,8.617500 
39,1.886900,2.445000,4.316900,8.648800 
40,1.932900,2.493200,4.818900,9.245000 
41,1.883400,2.516800,4.230100,8.630300 
42,2.008000,2.666100,4.550800,9.224900 
43,1.832000,2.437600,4.190400,8.460000 
44,1.889300,2.465400,4.219300,8.574000 
45,1.828600,2.560300,5.321400,9.710300 
46,2.946600,2.629500,6.126900,11.703000 
47,4.788800,2.517600,4.260900,11.567300 
48,2.116500,2.483100,4.360800,8.960400 
49,1.710100,2.535100,4.295900,8.541100 
50,1.754700,2.514600,4.143900,8.413200 
51,1.774500,2.541800,4.205200,8.521500 
52,1.779000,2.461600,4.211700,8.452300 
53,2.326800,2.474000,4.177100,8.977900 
54,1.828000,2.433500,4.194400,8.455900 
55,1.787100,2.468900,4.146800,8.402800 
56,2.009000,2.572700,4.308700,8.890400 
57,1.896400,2.445600,4.192800,8.534800 
58,2.199700,2.466800,4.237500,8.904000 
59,2.439200,2.572600,4.489800,9.501600 
