counter, keyextract, sign, verify, total 
1,10.220800,15.268700,6.415300,31.904800 
2,10.273100,14.984100,6.137200,31.394400 
3,10.246400,14.874800,5.988500,31.109700 
4,10.379300,15.179600,6.642400,32.201300 
5,10.373700,15.239100,6.255800,31.868600 
6,10.323300,14.971700,6.430300,31.725300 
7,12.380400,23.573300,10.901700,46.855400 
8,15.855200,22.795400,10.548500,49.199100 
9,15.228700,22.922200,10.344400,48.495300 
10,15.240400,22.147000,10.751800,48.139200 
11,14.919600,22.586700,13.532100,51.038400 
12,14.987100,15.323800,6.252100,36.563000 
13,10.323600,15.302900,6.273600,31.900100 
14,10.405600,15.132500,6.210200,31.748300 
15,10.275700,14.973400,6.114400,31.363500 
16,10.325600,14.911300,6.600400,31.837300 
17,10.350600,14.770200,6.034700,31.155500 
18,10.675900,15.081900,6.136400,31.894200 
19,10.427300,15.265100,6.151200,31.843600 
20,10.329700,15.191800,6.119300,31.640800 
21,10.356500,15.260400,6.216100,31.833000 
22,10.326300,14.999300,6.649700,31.975300 
23,10.342800,14.931000,6.055700,31.329500 
24,10.428800,14.963300,6.051500,31.443600 
25,10.240600,15.211300,6.237000,31.688900 
26,11.673800,15.113300,6.246700,33.033800 
27,10.289200,15.059900,6.312300,31.661400 
28,10.411400,15.208500,6.721300,32.341200 
29,10.508100,15.131400,6.154100,31.793600 
30,10.359200,15.232400,6.188400,31.780000 
31,10.508200,15.329000,6.121300,31.958500 
32,10.881300,15.097400,6.163500,32.142200 
33,10.362200,15.190700,6.119900,31.672800 
34,10.389400,15.095200,6.749100,32.233700 
35,10.356300,15.251100,6.245800,31.853200 
36,10.408600,15.082400,6.227900,31.718900 
37,10.208500,15.318000,6.536000,32.062500 
38,10.658400,14.987000,6.163600,31.809000 
39,10.211400,15.028500,6.297000,31.536900 
40,10.232700,15.176500,6.662300,32.071500 
41,10.295000,15.191900,6.378300,31.865200 
42,10.419400,17.366800,6.384400,34.170600 
43,10.496700,15.195500,6.293100,31.985300 
44,10.305500,15.251100,6.244800,31.801400 
45,10.300900,15.041000,6.289400,31.631300 
46,10.383600,15.103300,9.912000,35.398900 
47,11.963500,21.064800,6.143600,39.171900 
48,10.415200,15.367700,6.115900,31.898800 
49,10.376500,15.206400,6.083700,31.666600 
50,10.287100,15.296100,6.006900,31.590100 
51,10.195500,15.024700,6.129600,31.349800 
52,10.223800,14.824700,6.553900,31.602400 
53,10.309700,15.151600,6.409100,31.870400 
54,10.238600,15.158800,6.307000,31.704400 
55,10.430300,15.107200,6.278300,31.815800 
56,10.270200,15.384200,7.530400,33.184800 
57,10.389000,15.137700,6.484500,32.011200 
58,10.353300,15.289800,6.774400,32.417500 
59,11.175800,15.888700,6.044600,33.109100 
60,10.333600,15.123500,6.234000,31.691100 
61,10.297000,15.225300,6.171200,31.693500 
62,10.365400,15.334500,6.322500,32.022400 
63,10.441800,15.142100,6.147500,31.731400 
64,10.356600,15.054500,6.658100,32.069200 
65,10.397900,15.073100,6.041000,31.512000 
66,10.244100,14.948900,5.989700,31.182700 
67,10.262100,15.026000,6.116400,31.404500 
68,10.274200,15.003000,6.174700,31.451900 
69,10.317800,15.172500,6.346300,31.836600 
70,10.329700,15.339400,6.935700,32.604800 
71,10.370000,15.182000,6.194700,31.746700 
72,10.326800,15.137800,6.177600,31.642200 
73,10.889900,15.146500,6.158900,32.195300 
74,10.199500,15.153600,6.130400,31.483500 
75,10.328100,15.232200,6.203800,31.764100 
76,10.410400,15.138300,7.049200,32.597900 
77,10.785500,15.175600,6.318100,32.279200 
78,10.333000,15.325000,6.254900,31.912900 
79,10.291300,15.136100,6.699200,32.126600 
80,10.573900,15.372000,6.607100,32.553000 
81,11.107000,15.252000,6.404800,32.763800 
82,10.230700,15.084100,6.830200,32.145000 
83,10.475400,15.143900,6.295500,31.914800 
84,10.353800,15.310300,6.327900,31.992000 
85,10.335000,15.125800,6.207800,31.668600 
86,10.289800,15.397800,6.311800,31.999400 
87,10.515400,15.150300,6.241100,31.906800 
88,10.281300,15.051100,6.790400,32.122800 
89,10.381800,15.207200,6.192300,31.781300 
90,10.428100,15.211700,6.206700,31.846500 
91,10.334800,15.157700,6.312700,31.805200 
92,10.409800,15.217700,6.190100,31.817600 
93,12.387100,15.032800,6.060000,33.479900 
94,10.279500,14.879700,6.593100,31.752300 
95,10.416400,15.072400,6.162500,31.651300 
96,10.304800,15.121500,6.264300,31.690600 
97,10.398500,15.163700,6.316300,31.878500 
98,10.293700,15.046100,6.293900,31.633700 
99,10.277400,15.142600,6.119800,31.539800 
100,10.389000,15.089000,6.670300,32.148300 
101,10.238600,15.097600,6.078200,31.414400 
102,10.257200,15.028800,6.285300,31.571300 
103,10.499800,15.413300,6.369100,32.282200 
104,17.523500,20.051600,6.430600,44.005700 
105,10.502300,15.208100,6.413400,32.123800 
106,10.373400,15.114100,6.807900,32.295400 
107,10.246300,15.360100,6.266300,31.872700 
108,10.355100,15.027600,6.161400,31.544100 
109,10.269800,15.351300,6.320900,31.942000 
110,10.361900,15.322200,6.316900,32.001000 
111,10.242500,15.326900,6.300500,31.869900 
112,10.365000,15.123600,6.914000,32.402600 
113,10.307000,15.332100,6.341400,31.980500 
114,10.307800,15.028300,6.119000,31.455100 
115,10.470900,15.136500,6.224100,31.831500 
116,10.370100,15.506300,6.402600,32.279000 
117,10.568700,15.494800,6.692700,32.756200 
118,10.258500,15.302400,6.945200,32.506100 
119,10.299900,15.139400,6.234100,31.673400 
120,10.233000,15.045800,6.229500,31.508300 
121,10.227300,15.016400,6.091100,31.334800 
122,10.349200,15.203900,6.106100,31.659200 
123,10.260400,15.213800,6.176800,31.651000 
124,10.644800,15.045000,6.720400,32.410200 
125,10.398700,15.225500,6.308900,31.933100 
126,10.276400,15.070800,6.222000,31.569200 
127,10.299800,15.146700,6.139600,31.586100 
128,10.258700,14.940200,5.944500,31.143400 
129,10.312400,14.996500,6.204200,31.513100 
130,10.466700,15.021900,6.694300,32.182900 
131,10.420700,15.163300,6.352800,31.936800 
132,10.500800,15.462600,6.307300,32.270700 
133,10.461700,15.059600,6.207600,31.728900 
134,10.348700,15.706400,6.469800,32.524900 
135,11.341200,15.948000,6.518000,33.807200 
136,11.552800,15.313900,6.801300,33.668000 
137,10.825600,15.432900,6.321000,32.579500 
138,10.634800,15.765700,6.387400,32.787900 
139,10.345100,15.234100,9.726300,35.305500 
140,10.315500,15.310800,6.234400,31.860700 
141,10.865100,15.369600,6.500100,32.734800 
142,10.606000,15.236800,6.642200,32.485000 
143,10.375600,14.974500,6.265400,31.615500 
144,10.360700,15.253500,6.263600,31.877800 
145,10.397600,15.288200,6.243500,31.929300 
146,10.292300,15.259500,6.197900,31.749700 
147,10.301400,14.948700,6.138900,31.389000 
148,10.645300,15.473500,6.949000,33.067800 
149,10.490600,15.206000,6.107700,31.804300 
150,10.228900,15.002900,6.252400,31.484200 
151,10.349000,15.261100,6.150400,31.760500 
152,10.395400,15.138400,6.324700,31.858500 
153,10.446300,15.223700,6.196100,31.866100 
154,10.416900,15.067300,6.707200,32.191400 
155,10.418900,15.050000,6.191000,31.659900 
156,10.297200,15.386700,6.243200,31.927100 
157,10.442300,15.586000,6.439800,32.468100 
158,10.489500,15.587900,6.301100,32.378500 
159,10.353000,15.228100,6.287900,31.869000 
160,10.217500,15.377700,7.381400,32.976600 
161,10.281200,15.356700,6.468700,32.106600 
162,10.371400,16.241200,6.482400,33.095000 
163,10.561200,14.706800,5.974200,31.242200 
164,10.680400,15.335300,6.436200,32.451900 
165,10.285700,16.597600,6.180600,33.063900 
166,10.405600,15.077500,6.910800,32.393900 
167,10.288100,15.886500,6.337800,32.512400 
168,10.380100,15.373600,6.755800,32.509500 
169,10.684500,15.350500,6.571200,32.606200 
170,10.369300,15.171400,6.094700,31.635400 
171,10.322400,15.156000,6.208100,31.686500 
172,10.556200,15.168100,6.875900,32.600200 
173,10.440000,15.151400,6.454300,32.045700 
174,10.374700,15.244600,6.260200,31.879500 
175,10.386800,15.131700,6.188500,31.707000 
176,10.264800,15.069100,6.217900,31.551800 
177,10.235700,14.914200,6.082000,31.231900 
178,10.235800,15.134500,8.933000,34.303300 
179,12.340200,15.209800,6.270400,33.820400 
180,10.589700,15.165100,6.171000,31.925800 
181,10.355600,15.241100,6.218600,31.815300 
182,10.221600,15.066900,6.084400,31.372900 
183,10.300200,15.019100,6.130400,31.449700 
184,10.230100,14.976500,8.421100,33.627700 
185,10.341200,15.143800,6.099300,31.584300 
186,10.303400,15.408500,6.016200,31.728100 
187,10.438400,15.344900,6.136600,31.919900 
188,10.393800,15.279000,5.983800,31.656600 
189,10.296700,15.623100,6.162100,32.081900 
190,10.600300,15.554800,6.726400,32.881500 
