counter, keyextract, sign, verify, total 
1,7.103800,3.523600,4.899600,15.527000 
2,7.217100,3.439400,4.870000,15.526500 
3,7.142700,3.544700,4.853300,15.540700 
4,7.060200,3.444200,4.917600,15.422000 
5,7.215800,3.607900,4.836400,15.660100 
6,7.273100,3.443400,4.918000,15.634500 
7,7.125400,3.495600,5.018900,15.639900 
8,7.078500,3.446100,4.896600,15.421200 
9,7.087500,3.440100,5.068200,15.595800 
10,7.155100,3.498200,5.100100,15.753400 
11,7.309500,3.497900,5.031100,15.838500 
12,7.236900,3.485900,4.896500,15.619300 
13,7.079200,3.473400,4.986100,15.538700 
14,7.266000,3.487600,4.873400,15.627000 
15,7.296000,3.431900,4.978100,15.706000 
16,7.152100,3.560300,5.900500,16.612900 
17,7.370900,3.590700,5.104900,16.066500 
18,7.509000,3.547700,4.953000,16.009700 
19,7.181300,3.442600,4.947800,15.571700 
20,7.192600,3.524400,5.081800,15.798800 
21,7.251200,3.468500,4.903800,15.623500 
22,7.319300,3.452300,4.903700,15.675300 
23,7.252100,3.721600,5.035400,16.009100 
24,7.635800,3.646100,4.959800,16.241700 
25,7.199600,3.440600,4.844700,15.484900 
26,7.422000,3.481800,4.874300,15.778100 
27,7.141100,3.523700,5.005400,15.670200 
28,7.262400,3.419800,5.254400,15.936600 
29,7.204400,3.610900,4.972800,15.788100 
30,7.110500,3.447100,4.978400,15.536000 
31,7.290800,3.449700,5.141400,15.881900 
32,7.826200,3.667400,5.035900,16.529500 
33,7.465500,4.147800,5.778200,17.391500 
34,7.165500,3.457100,4.879200,15.501800 
35,7.227600,3.545100,4.904000,15.676700 
36,7.246700,3.511300,4.882800,15.640800 
37,7.132300,4.322700,5.534100,16.989100 
38,7.220700,3.520900,4.803800,15.545400 
39,7.222800,3.563700,4.917900,15.704400 
40,7.218900,3.458200,4.914600,15.591700 
41,7.358500,3.457400,4.769100,15.585000 
42,7.225200,3.775700,5.068700,16.069600 
43,7.244700,3.497800,4.955700,15.698200 
44,7.013600,3.561000,4.886600,15.461200 
45,7.361100,3.448900,4.997600,15.807600 
46,7.223600,3.752900,4.990200,15.966700 
47,7.104000,3.858200,4.942400,15.904600 
48,7.101900,3.509300,4.865200,15.476400 
49,7.027200,3.417500,4.852800,15.297500 
50,7.207800,3.450200,4.885800,15.543800 
51,7.107500,3.468100,4.882400,15.458000 
52,7.228000,3.497100,4.891900,15.617000 
53,7.081800,3.399000,4.871200,15.352000 
54,8.227700,3.445100,5.631000,17.303800 
55,7.277100,3.461900,4.928100,15.667100 
56,7.260700,3.500500,4.914900,15.676100 
57,7.139600,3.638600,5.162800,15.941000 
58,7.428700,3.566800,5.124500,16.120000 
59,7.331600,3.479200,5.000000,15.810800 
60,7.411800,3.748300,5.338500,16.498600 
61,7.180000,3.428200,4.836200,15.444400 
62,7.013700,3.473700,4.983100,15.470500 
63,7.090900,3.594600,4.955800,15.641300 
64,7.172400,3.485000,5.016000,15.673400 
65,7.232800,3.518700,4.995500,15.747000 
66,7.076700,3.737000,4.995700,15.809400 
67,7.730200,3.506400,5.181100,16.417700 
68,7.355800,3.450500,4.910100,15.716400 
69,8.821600,4.032500,4.969200,17.823300 
70,7.298700,3.468500,4.925300,15.692500 
71,7.238100,3.599900,4.889200,15.727200 
72,7.107600,3.512800,4.979500,15.599900 
73,7.207200,3.694300,5.020300,15.921800 
74,7.160000,3.508200,4.881500,15.549700 
75,7.062500,3.466600,5.202200,15.731300 
76,7.236800,3.738000,5.536800,16.511600 
77,7.549400,4.047200,5.549500,17.146100 
78,7.519200,3.750700,5.231300,16.501200 
79,7.175800,3.515500,4.891500,15.582800 
80,7.236300,3.487800,4.876400,15.600500 
81,7.353300,3.466600,5.017200,15.837100 
82,7.236900,3.582200,5.153200,15.972300 
83,7.135700,3.558400,4.887600,15.581700 
84,7.249300,3.967000,5.085900,16.302200 
85,7.767400,3.597400,5.133300,16.498100 
86,7.184200,3.569300,5.138900,15.892400 
87,6.798800,3.468600,5.011100,15.278500 
88,7.167700,3.547200,4.844400,15.559300 
89,7.196800,3.502200,4.852900,15.551900 
90,7.119900,3.508700,5.054100,15.682700 
91,7.272400,3.420400,5.339600,16.032400 
92,7.127000,3.515000,5.019700,15.661700 
93,7.122100,3.527200,4.854400,15.503700 
94,7.241900,3.433400,7.409100,18.084400 
95,10.587600,3.475600,4.897900,18.961100 
96,7.117500,3.616800,4.957800,15.692100 
97,7.214500,3.469000,4.947800,15.631300 
98,7.307000,3.506100,4.951000,15.764100 
99,7.259200,3.482100,4.963700,15.705000 
100,7.114900,3.710200,5.306500,16.131600 
101,7.231600,3.509900,4.922200,15.663700 
102,7.327500,3.453100,4.942100,15.722700 
103,7.109000,3.508100,4.844300,15.461400 
104,7.167400,3.560000,5.005500,15.732900 
105,7.056700,3.343900,5.622600,16.023200 
106,7.126000,3.505000,5.054200,15.685200 
107,7.126100,3.492600,4.922900,15.541600 
108,7.250000,3.533000,4.922600,15.705600 
109,7.225100,4.581500,5.025700,16.832300 
110,7.194000,3.480100,4.941500,15.615600 
111,7.154900,3.516300,4.971000,15.642200 
112,7.073400,3.527400,4.864700,15.465500 
113,7.004900,3.772300,4.846900,15.624100 
114,7.088900,3.426200,5.801200,16.316300 
115,7.103200,3.561500,4.905800,15.570500 
116,7.170700,3.524500,4.861200,15.556400 
117,7.192700,3.470500,5.059500,15.722700 
118,7.155300,3.449700,5.037000,15.642000 
119,7.191100,3.485200,4.947400,15.623700 
120,7.080900,3.447400,4.996600,15.524900 
121,7.227300,3.468800,4.885100,15.581200 
122,7.200400,3.485100,4.880100,15.565600 
123,6.973300,3.576900,5.089000,15.639200 
124,7.276900,3.576500,4.938400,15.791800 
125,7.102800,3.482400,5.035100,15.620300 
126,7.269000,3.496900,4.951400,15.717300 
127,7.226200,3.505800,4.922200,15.654200 
128,8.204600,3.503000,4.880200,16.587800 
129,6.883300,3.477900,4.904800,15.266000 
130,7.139500,3.610000,5.268500,16.018000 
131,7.223700,3.569400,5.127600,15.920700 
132,7.610300,3.652900,5.673800,16.937000 
133,7.081400,3.588400,4.962700,15.632500 
134,7.139800,3.471500,4.925700,15.537000 
135,7.161800,3.556800,4.922800,15.641400 
136,7.110900,3.551500,4.938900,15.601300 
137,7.273700,3.512400,5.057100,15.843200 
138,7.188400,3.485900,4.903000,15.577300 
139,7.590200,3.648600,5.561200,16.800000 
140,7.311400,3.510700,5.222900,16.045000 
141,7.418000,3.639000,5.841900,16.898900 
142,7.183500,3.467400,4.900100,15.551000 
143,7.160200,3.560500,4.990200,15.710900 
144,7.196700,3.495200,4.946000,15.637900 
145,7.191500,3.518100,5.000200,15.709800 
146,7.159800,3.518900,4.921600,15.600300 
147,7.208500,3.796900,5.047500,16.052900 
148,8.172900,3.600600,4.965900,16.739400 
149,7.551900,3.468800,5.190700,16.211400 
150,7.344800,3.881200,5.248300,16.474300 
151,7.246300,3.516900,5.027600,15.790800 
152,7.135600,3.512100,4.953900,15.601600 
153,7.299300,3.657100,5.238900,16.195300 
154,7.102500,3.944100,5.062100,16.108700 
155,7.612800,3.668600,4.874900,16.156300 
156,7.282300,4.101200,5.283800,16.667300 
157,7.363200,3.738700,5.775700,16.877600 
158,7.335300,3.589800,4.995000,15.920100 
159,7.778600,3.470400,4.917400,16.166400 
160,7.192300,3.545700,4.921400,15.659400 
161,7.347300,3.479300,4.979600,15.806200 
162,7.074000,3.610200,4.951800,15.636000 
163,7.072600,3.539700,4.905900,15.518200 
164,7.313700,3.565700,4.882000,15.761400 
165,7.230600,3.473900,4.917900,15.622400 
166,7.561100,3.419900,5.608100,16.589100 
167,7.002400,3.688000,5.504400,16.194800 
168,7.551300,3.926400,4.949700,16.427400 
169,7.148100,3.520000,4.912800,15.580900 
170,7.006200,3.599800,6.099900,16.705900 
171,7.206400,3.498000,4.972200,15.676600 
172,7.211100,3.557500,4.954100,15.722700 
173,7.221700,3.592400,4.894500,15.708600 
174,7.186400,3.748800,5.441400,16.376600 
175,7.422100,3.717100,5.223500,16.362700 
176,7.776000,4.124900,5.529500,17.430400 
177,7.252900,3.530700,4.973400,15.757000 
178,7.140100,3.494100,4.977700,15.611900 
179,7.214800,3.511000,4.886400,15.612200 
180,7.249500,3.513100,5.056200,15.818800 
181,7.216900,3.554800,5.012700,15.784400 
182,7.042400,3.557000,4.909900,15.509300 
183,7.084700,3.501400,4.897000,15.483100 
184,7.207000,3.566800,5.222800,15.996600 
185,7.682300,3.513000,5.106600,16.301900 
186,7.104300,3.507300,4.969700,15.581300 
187,7.107500,3.515900,5.020600,15.644000 
188,7.290700,3.490200,5.056900,15.837800 
189,7.331100,3.510700,5.162000,16.003800 
190,7.098800,3.540500,4.963200,15.602500 
191,8.036700,3.502100,5.015900,16.554700 
192,7.127900,3.475500,4.882800,15.486200 
193,7.285800,3.512900,4.975100,15.773800 
194,7.130900,3.683300,5.215400,16.029600 
195,7.114100,3.421700,5.203900,15.739700 
196,7.170500,3.528600,4.901100,15.600200 
197,7.188200,3.490700,4.929600,15.608500 
198,7.263400,3.625900,4.977100,15.866400 
199,7.236300,3.522200,4.985800,15.744300 
200,7.045400,3.561000,4.941800,15.548200 
201,7.137700,3.502600,4.909200,15.549500 
202,7.846900,3.494700,4.898500,16.240100 
203,7.120000,3.470500,4.876500,15.467000 
204,7.161900,3.443100,5.056400,15.661400 
205,7.157200,3.513600,4.923000,15.593800 
206,7.240300,3.505000,5.005300,15.750600 
207,7.234800,3.664300,5.047500,15.946600 
208,7.261700,3.469800,4.998700,15.730200 
209,7.265500,3.775200,4.964700,16.005400 
210,7.165500,3.485700,5.117200,15.768400 
211,7.129700,3.535100,5.061100,15.725900 
212,7.812500,3.643700,5.057800,16.514000 
213,7.361100,3.897000,5.630400,16.888500 
214,7.236900,3.528400,4.892900,15.658200 
215,7.119500,3.531900,4.890700,15.542100 
216,7.174600,3.607400,4.878800,15.660800 
217,7.267300,3.488100,5.118700,15.874100 
218,7.291400,3.514900,4.936900,15.743200 
219,7.048600,3.519700,5.015000,15.583300 
220,7.184800,3.949500,5.175600,16.309900 
221,7.580500,3.562700,5.108200,16.251400 
222,7.737500,3.899400,5.307200,16.944100 
223,7.154700,3.477000,4.874100,15.505800 
224,7.192300,3.545400,4.913900,15.651600 
225,7.045400,3.524500,4.887800,15.457700 
226,7.370900,3.596500,5.031100,15.998500 
227,7.146200,3.508200,4.910400,15.564800 
228,7.242300,3.496100,4.923100,15.661500 
229,7.133800,3.461000,5.298500,15.893300 
230,7.874300,3.663900,5.522700,17.060900 
231,7.406500,4.152100,5.183600,16.742200 
232,7.094900,3.519900,4.957700,15.572500 
233,7.256600,3.511300,4.881200,15.649100 
234,7.301500,5.771200,7.529300,20.602000 
235,9.360700,3.511300,5.037700,17.909700 
236,7.196600,3.539600,4.887200,15.623400 
237,7.172100,3.504600,4.867500,15.544200 
238,7.166200,3.459800,4.887100,15.513100 
239,7.197700,3.475600,4.985500,15.658800 
240,7.150800,3.550000,4.951200,15.652000 
241,7.180800,3.515300,5.062900,15.759000 
242,7.154100,3.513300,4.955100,15.622500 
243,7.092200,3.562500,4.957800,15.612500 
244,7.245800,3.608100,5.003600,15.857500 
245,7.296200,3.482500,4.896900,15.675600 
246,7.391600,3.667900,5.019400,16.078900 
247,7.371700,3.883700,4.948600,16.204000 
248,7.720000,3.644100,5.794900,17.159000 
249,8.109300,4.400500,4.894200,17.404000 
250,7.189700,3.494700,4.952600,15.637000 
251,7.216700,3.521800,5.138100,15.876600 
252,7.552400,3.537900,5.034100,16.124400 
253,7.156400,3.587100,5.081800,15.825300 
254,7.287000,3.541400,4.984500,15.812900 
255,7.209700,3.614800,5.243100,16.067600 
256,7.682000,3.788300,4.803600,16.273900 
257,7.092700,3.593900,4.816300,15.502900 
258,7.208600,3.446300,5.101500,15.756400 
259,7.113400,3.486800,4.913400,15.513600 
260,7.203200,3.484900,5.008600,15.696700 
261,7.121800,3.510200,5.106900,15.738900 
262,7.263600,3.524300,5.168900,15.956800 
263,7.258000,3.572900,4.966600,15.797500 
264,7.212700,3.473300,4.947500,15.633500 
265,7.161800,3.956600,4.882700,16.001100 
266,7.107300,3.498600,4.881100,15.487000 
267,7.203400,3.558700,5.062200,15.824300 
268,7.189100,3.526100,4.927800,15.643000 
269,7.262900,3.553700,4.968200,15.784800 
270,7.208600,3.503900,4.995900,15.708400 
271,7.224100,3.554300,5.098500,15.876900 
272,7.072000,3.498600,4.889300,15.459900 
273,7.264700,3.515100,4.992200,15.772000 
274,7.123200,3.526200,4.898200,15.547600 
275,7.131800,3.445400,4.885800,15.463000 
276,7.016100,3.463500,4.981400,15.461000 
277,7.192200,3.551600,5.100900,15.844700 
278,7.208600,3.499800,4.997000,15.705400 
279,7.090000,3.516200,4.938800,15.545000 
280,7.411100,3.693000,5.057600,16.161700 
281,7.368300,3.553900,4.976600,15.898800 
282,7.820000,3.573000,4.951200,16.344200 
283,7.068300,3.501900,4.885900,15.456100 
284,7.074700,3.501800,4.962300,15.538800 
285,7.079200,3.524500,4.943900,15.547600 
286,7.132600,3.567600,5.026400,15.726600 
287,7.187600,3.498200,4.988500,15.674300 
288,7.427100,3.478600,5.166300,16.072000 
289,7.277500,3.546000,5.076700,15.900200 
290,6.990000,3.527300,4.944000,15.461300 
291,7.297500,3.483300,4.940300,15.721100 
292,7.168500,3.529000,4.855400,15.552900 
293,6.979600,3.557000,4.887900,15.424500 
294,7.187300,3.470800,5.108200,15.766300 
295,7.457100,3.603800,5.046000,16.106900 
296,7.189500,3.585200,4.959800,15.734500 
297,7.972800,3.518300,5.025700,16.516800 
298,7.177500,3.514200,5.116100,15.807800 
299,7.237300,3.541800,5.000000,15.779100 
300,7.240800,3.523300,4.918000,15.682100 
301,6.849400,3.484500,5.483100,15.817000 
302,8.068700,3.830900,5.193700,17.093300 
303,7.294200,4.126400,5.198000,16.618600 
304,7.122800,3.490700,4.891500,15.505000 
305,7.220100,3.537600,4.866800,15.624500 
306,7.187100,3.735900,5.010600,15.933600 
307,7.109200,3.523100,5.028900,15.661200 
308,7.242000,3.489000,4.870200,15.601200 
309,7.074700,3.516700,4.929000,15.520400 
310,7.233700,3.505200,4.976000,15.714900 
311,7.107800,3.492200,4.877300,15.477300 
312,7.154100,3.455800,4.985800,15.595700 
313,7.173900,3.710800,4.939500,15.824200 
