counter, keyextract, sign, verify, total 
1,7.754900,11.661800,6.290900,25.707600 
2,7.572300,11.570900,6.262600,25.405800 
3,7.585500,11.552700,6.363500,25.501700 
4,7.584500,11.964900,6.383100,25.932500 
5,9.982000,17.340600,10.739200,38.061800 
6,11.311300,19.161300,9.150500,39.623100 
7,7.717700,12.017000,6.241800,25.976500 
8,7.629300,11.848100,6.423600,25.901000 
9,7.698100,11.586400,6.627700,25.912200 
10,7.707700,12.868000,7.734200,28.309900 
11,10.627400,16.906900,10.576700,38.111000 
12,7.631300,14.926700,8.770000,31.328000 
13,7.793800,11.639900,6.892900,26.326600 
14,7.933300,12.062100,6.569400,26.564800 
15,7.686700,11.499400,6.282300,25.468400 
16,7.625300,11.546500,6.188300,25.360100 
17,7.787800,11.703900,6.401500,25.893200 
18,7.562400,11.946700,6.395000,25.904100 
19,7.695300,11.285600,6.312300,25.293200 
20,7.606600,11.491300,6.175600,25.273500 
21,7.628100,11.436200,6.692000,25.756300 
22,7.608100,11.661300,6.271000,25.540400 
23,7.703800,11.508800,6.195700,25.408300 
24,7.717700,11.672900,6.420800,25.811400 
25,7.945000,12.042000,6.322400,26.309400 
26,7.523800,11.568900,6.172600,25.265300 
27,7.591200,11.677800,6.343300,25.612300 
28,7.652900,11.663200,7.204800,26.520900 
29,7.564800,11.889600,7.013300,26.467700 
30,7.618400,11.563700,6.237600,25.419700 
31,7.814300,11.278200,6.220000,25.312500 
32,7.745200,11.604200,6.404700,25.754100 
33,7.608100,11.649900,6.373300,25.631300 
34,9.852000,18.227900,7.127100,35.207000 
35,7.944400,11.658900,6.160100,25.763400 
36,7.612400,11.454600,6.225300,25.292300 
37,7.617600,11.543100,6.565500,25.726200 
38,7.709100,11.827500,6.556300,26.092900 
39,7.554200,11.683100,8.864600,28.101900 
40,7.584700,11.550700,6.166200,25.301600 
41,7.657500,11.574700,6.529500,25.761700 
42,7.764400,11.630300,7.897100,27.291800 
43,7.633500,11.523300,6.214600,25.371400 
44,7.693700,11.643700,6.303000,25.640400 
45,7.638500,11.421700,6.635900,25.696100 
46,7.671200,11.472100,6.174000,25.317300 
47,7.590500,11.946000,6.431700,25.968200 
48,7.720000,11.704600,6.261300,25.685900 
49,7.601500,11.340900,6.346000,25.288400 
50,7.514500,11.701400,6.136200,25.352100 
51,7.628600,12.088000,6.324500,26.041100 
52,7.833000,11.627800,6.570000,26.030800 
53,7.699700,11.334000,6.682100,25.715800 
54,10.843200,15.674800,6.254200,32.772200 
55,7.437900,11.807400,6.299000,25.544300 
56,7.643300,11.602100,6.344300,25.589700 
57,7.606700,11.432700,6.535100,25.574500 
58,9.469700,11.573000,6.241400,27.284100 
59,7.970400,12.313700,6.689400,26.973500 
60,7.677400,11.601200,6.584200,25.862800 
61,7.616400,11.435300,7.123600,26.175300 
62,7.715600,14.562300,6.157400,28.435300 
63,7.588800,11.572300,6.235000,25.396100 
64,7.657600,11.522700,6.312100,25.492400 
65,7.786500,11.678000,6.445800,25.910300 
66,7.984600,11.651700,7.938900,27.575200 
67,7.680100,11.791800,6.253700,25.725600 
68,7.558600,11.606100,6.339600,25.504300 
69,7.547100,12.473400,6.694500,26.715000 
70,7.720000,11.621600,8.008600,27.350200 
71,7.632800,12.039300,6.265500,25.937600 
72,7.531100,11.699100,6.373200,25.603400 
73,7.587600,11.520900,6.365100,25.473600 
74,7.568600,11.747700,6.748300,26.064600 
75,7.627700,11.601800,6.331400,25.560900 
76,7.687400,11.682400,6.213200,25.583000 
77,7.629500,11.578400,6.846400,26.054300 
78,8.256400,11.933700,6.372200,26.562300 
79,10.542500,11.516200,6.266300,28.325000 
80,7.640600,11.736000,6.241000,25.617600 
81,7.520800,11.338400,6.253800,25.113000 
82,7.588700,11.617400,6.553100,25.759200 
83,7.600400,11.411300,6.492500,25.504200 
84,7.699400,11.642000,6.357200,25.698600 
85,7.910200,12.123500,10.226500,30.260200 
86,7.563200,11.507400,6.084700,25.155300 
87,7.591600,11.454300,6.291900,25.337800 
88,7.608400,11.919000,6.430800,25.958200 
89,7.514200,12.054700,6.432200,26.001100 
90,7.632600,11.526300,6.213600,25.372500 
91,9.598300,15.233800,9.542800,34.374900 
92,7.769000,12.095300,6.821600,26.685900 
93,7.641900,11.615700,6.688400,25.946000 
94,7.604600,11.418000,6.285700,25.308300 
95,7.569100,11.436500,6.217600,25.223200 
96,7.656800,11.700200,6.358000,25.715000 
97,7.636300,11.326300,6.376000,25.338600 
98,7.593900,11.546400,7.126800,26.267100 
99,7.858500,11.735300,6.497400,26.091200 
100,7.570000,11.557700,6.481600,25.609300 
101,7.702200,11.584600,6.690300,25.977100 
102,7.766000,11.846600,6.595600,26.208200 
103,7.799100,11.374700,6.242000,25.415800 
104,8.360600,12.304600,6.947000,27.612200 
105,7.706100,11.593800,6.276200,25.576100 
106,7.560400,11.737900,6.338400,25.636700 
107,7.608900,11.605800,6.249300,25.464000 
108,7.555000,11.589300,6.285200,25.429500 
109,7.725200,11.431300,6.845400,26.001900 
