counter, keyextract, sign, verify, total 
1,1.766900,2.839000,5.149300,9.755200 
2,1.703400,2.798500,4.968700,9.470600 
3,1.854400,2.817500,5.167800,9.839700 
4,1.853000,2.821300,5.486600,10.160900 
5,1.816000,2.808800,4.922600,9.547400 
6,1.859400,2.792400,4.996400,9.648200 
7,1.833700,2.792700,4.987200,9.613600 
8,1.878800,2.868600,5.044100,9.791500 
9,1.850800,2.751600,5.360800,9.963200 
10,1.932200,2.770200,5.355100,10.057500 
11,1.797900,2.873500,4.946700,9.618100 
12,1.812600,2.817500,5.015700,9.645800 
13,2.072100,2.812400,4.966000,9.850500 
14,1.974700,2.739300,5.100300,9.814300 
15,1.813400,2.754400,5.191300,9.759100 
16,3.629800,2.947800,6.271300,12.848900 
17,1.872200,3.069400,5.070300,10.011900 
18,1.878000,2.808000,5.099100,9.785100 
19,1.905700,2.762600,5.028300,9.696600 
20,1.874700,2.742400,5.652000,10.269100 
21,2.117200,2.776400,5.033700,9.927300 
22,2.486000,2.818000,5.643800,10.947800 
23,1.864700,2.714900,5.040600,9.620200 
24,1.994100,2.768800,5.162000,9.924900 
25,1.885700,2.736300,5.271600,9.893600 
26,2.209200,2.772700,5.109800,10.091700 
27,1.888000,2.711700,5.139800,9.739500 
28,2.134000,3.381000,5.628000,11.143000 
29,1.889800,2.807200,5.137400,9.834400 
30,2.242000,2.948200,5.522100,10.712300 
31,1.874400,2.798900,5.436300,10.109600 
32,2.001300,2.913100,5.430200,10.344600 
33,2.071500,2.808300,5.380500,10.260300 
34,1.905400,3.534000,5.778800,11.218200 
35,1.916600,2.704800,5.090100,9.711500 
36,1.859700,2.814700,5.301400,9.975800 
37,1.996700,2.874000,5.138800,10.009500 
38,1.728100,2.694700,5.063400,9.486200 
39,2.467300,2.900200,5.047400,10.414900 
40,1.908000,2.788800,5.623100,10.319900 
41,1.867300,2.788100,4.979300,9.634700 
42,1.934700,2.864000,5.127500,9.926200 
43,1.888000,2.741000,5.147300,9.776300 
44,1.943900,2.821700,5.114600,9.880200 
45,1.981700,2.900800,5.206300,10.088800 
46,2.031400,2.751200,5.689400,10.472000 
47,5.180900,2.799300,5.102400,13.082600 
48,2.134900,2.819600,5.058200,10.012700 
