counter, setup, keyextract, sign, verify, total, bitsize 
1,1.607700,31.026400,54.029100,19.140900,104.196400,2343 
2,1.596200,36.462600,84.198600,19.526900,140.188100,2642 
3,1.622000,25.946900,94.799300,19.336300,140.082500,2941 
4,1.623800,31.236800,107.742500,30.536900,169.516200,3751 
5,1.633400,36.693600,132.802400,19.730100,189.226100,4051 
6,1.607700,31.524900,182.814400,19.875700,234.215000,4351 
7,1.547700,36.577700,189.337200,19.875200,245.790100,4650 
8,1.622600,62.561300,209.874900,19.812200,292.248400,4948 
9,1.615000,55.111000,229.793300,19.996100,304.900400,6369 
10,1.635600,36.756100,226.353600,46.632400,309.742100,6670 
