counter, setup, keyextract, sign, verify, total, bitsize 
1,3.094500,1.960300,2.478700,5.600700,10.039700,1384 
2,3.679400,2.385900,3.156300,8.178700,13.720900,1517 
3,4.489700,2.537300,3.691000,8.185200,14.413500,1650 
4,4.935800,3.086200,4.288300,9.460500,16.835000,1910 
5,5.574300,2.766800,4.856400,10.904800,18.528000,2044 
6,6.177000,3.020800,5.500600,12.358500,20.879900,2178 
7,6.828900,3.023400,6.074400,14.161900,23.259700,2311 
8,7.484200,3.398400,6.777000,15.347800,25.523200,2443 
9,8.103500,3.698600,7.437900,17.091100,28.227600,2858 
10,8.750800,3.910300,8.014400,18.427000,30.351700,2993 
