counter, setup, keyextract, sign, verify, total, bitsize 
1,11.886300,10.298800,11.862700,7.363200,29.524700,1754 
2,11.758600,13.376200,15.166400,9.025300,37.567900,1962 
3,11.769500,16.402500,18.553700,10.566000,45.522200,2202 
4,13.115900,23.291200,22.587300,12.117200,57.995700,2664 
5,11.595600,22.311400,24.905500,13.715500,60.932400,2874 
6,11.601600,25.620000,27.968700,15.165300,68.754000,3084 
7,11.746700,28.489500,31.209400,18.256600,77.955500,3356 
8,11.698700,31.883700,35.466100,18.301200,85.651000,3562 
9,11.647500,34.454100,37.774600,20.749700,92.978400,4334 
10,11.605400,37.951000,41.281400,22.682000,101.914400,4546 
