counter, setup, keyextract, sign, verify, total, bitsize 
1,12.592700,6.248600,3.457600,3.421000,13.127200,468 
2,15.590500,7.124700,3.501300,3.610900,14.236900,468 
3,17.956800,8.061500,3.577400,3.712400,15.351300,468 
4,20.810000,9.002700,3.743400,3.970600,16.716700,468 
5,23.625400,12.916500,6.423600,4.105500,23.445600,468 
6,26.283300,10.739500,4.023000,4.053800,18.816300,468 
7,28.934700,11.480200,4.158900,4.250400,19.889500,468 
8,31.586200,12.403600,4.362800,4.479000,21.245400,468 
9,34.376300,13.369400,4.464000,4.496200,22.329600,468 
10,36.984200,16.188400,4.544000,4.630600,25.363000,468 
