counter, setup, keyextract, sign, verify, total, bitsize 
1,1.030000,7.617600,16.554100,6.359300,30.531000,2343 
2,1.039300,9.492400,21.527000,6.580200,37.599600,2642 
3,1.029900,7.568000,26.367300,6.732200,40.667500,2941 
4,1.024000,7.658900,31.419800,7.213800,46.292500,3751 
5,1.043400,7.514200,36.363200,6.868800,50.746200,4051 
6,1.039400,7.624600,41.643900,6.874900,56.143400,4351 
7,1.047500,9.959000,61.923200,7.163800,79.046000,4650 
8,1.038100,7.558500,57.036800,7.059600,71.654900,4948 
9,1.025400,7.602700,56.979600,7.079200,71.661500,6369 
10,1.026900,7.542100,61.294400,7.364900,76.201400,6670 
