counter, setup, keyextract, sign, verify, total, bitsize 
1,4.683200,1.900900,3.685500,6.925400,12.511800,1300 
2,5.508700,2.133800,4.666500,8.891400,15.691700,1433 
3,6.366900,2.274000,5.475200,10.932700,18.681900,1566 
4,7.459300,3.103200,6.463400,12.702700,22.269300,1826 
5,8.309900,2.823900,7.038400,14.612000,24.474300,1960 
6,9.297700,2.919800,8.023100,16.809500,27.752400,2094 
7,10.228000,3.212300,9.576800,19.249600,32.038700,2227 
8,11.162200,3.576300,10.306400,21.706800,35.589500,2359 
9,12.062400,3.934800,13.759900,23.426400,41.121100,2774 
10,30.533200,6.042800,16.231900,24.742200,47.016900,2909 
